tempObjectNumber: 1, Title: Lead ornament perhaps vegetal,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.146
tempObjectNumber: 2, Title: Beads 18,  Medium: Glass,  Dimensions: Diameter (smallest bead): 1/4 in. (0.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2345
tempObjectNumber: 3, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 1 1/16 in. (2.3 x 2.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1773
tempObjectNumber: 4, Title: Terracotta statuette of woman playing a tympanon,  Period: Late Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: h. 7 9/16 in. (19.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1696
tempObjectNumber: 5, Title: Bronze statuette of a horseman,  Medium: Bronze,  Dimensions: 3 9/16 in. (9.1 cm),  Classification: Bronzes,  Credit Line: Bequest of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.552
tempObjectNumber: 6, Title: Cup,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1276
tempObjectNumber: 7, Title: Frontlet of gold leaf,  Medium: Gold,  Dimensions: Other: 13/16 × 4 3/16 in. (2.1 × 10.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3548
tempObjectNumber: 8, Title: Plemochoe with lid,  : Assigned to Kothons Type B,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. with cover  4 13/16 in. (12.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.208a b
tempObjectNumber: 9, Title: Terracotta one-handled cup,  Period: Late Helladic IIIA,  Date: ca. 1400–1300 B.C.,  Culture: Helladic Mycenaean,  Medium: Terracotta,  Dimensions: diameter  4 13/16 in. (12.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.777
tempObjectNumber: 10, Title: Jug,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 5/8in. (11.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1174
tempObjectNumber: 11, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 5/8 in. (2.5 x 9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2196
tempObjectNumber: 12, Title: Gold mouth plate with rosettes,  Period: Late Bronze Age,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 4 in. (10.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3003
tempObjectNumber: 13, Title: Gold earring with head of a goat,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 3/4 x 1/8 x 13/16 in. (1.9 x 0.4 x 2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3407
tempObjectNumber: 14, Title: Ivory hairpin,  Date: ca. 1st century A.D.,  Culture: Roman,  Medium: Ivory,  Dimensions: H.: 6 1/8 in. (15.6 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1333
