tempObjectNumber: 1, Title: Fragment of a terracotta skyphos (deep drinking cup),  Attribution: the Palermo Painter,  Period: Classical,  Date: ca. 430–400 B.C.,  Culture: Greek South Italian Lucanian,  Medium: Terracotta; red-figure,  Dimensions: Overall: 8 x 5 1/4in. (20.3 x 13.3cm),  Classification: Vases,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.12
tempObjectNumber: 2, Title: Bead plaque from a necklace,  Culture: Cypriot,  Medium: Silver,  Dimensions: Other: 13/16 x 1 7/16 x 5/16 in. (2.1 x 3.7 x 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3277
tempObjectNumber: 3, Title: Intaglio,  Date: 2nd century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/2 x 3/16 in. (0.9 x 1.3 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.462
tempObjectNumber: 4, Title: Glass bracelet with impressed decoration,  Period: Late Antique,  Date: late 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; drawn tooled and stamped,  Dimensions: Overall: 1/4 x 2 3/4in. (0.6 x 7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.345
tempObjectNumber: 5, Title: Faience amulet of a sow,  Period: Third Intermediate Period–Late Dynastic,  Date: 664–304 B.C.,  Culture: Egyptian,  Medium: Clay glazed,  Dimensions: Other: 11/16 x 1 x 5/16 in. (1.8 x 2.6 x 0.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4504
tempObjectNumber: 6, Title: Gold earring with head of a goat,  Period: Classical or Hellenistic,  Date: 4th‒3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 1/8 x 1/2 in. (1.6 x 0.3 x 1.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3521a
tempObjectNumber: 7, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 1/2 x 3 1/2 in. (3.8 x 8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2082
tempObjectNumber: 8, Title: Kylix fragment,  Attribution: the Pistoxenos Painter,  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.63
tempObjectNumber: 9, Title: Coin,  Medium: Silver,  Dimensions: Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.4 cm 17.28g),  Classification: Coins,  Credit Line: Gift of J. Pierpont Morgan 1905,  Accession Number: 05.44.262
tempObjectNumber: 10, Title: Bone attachment,  Period: Late Antique or Byzantine,  Date: 4th century A.D. or later,  Culture: Roman or Byzantine,  Medium: Ivory or bone,  Dimensions: H.: 1 3/8 in. (3.5 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Purchase 1896,  Accession Number: 96.9.453
tempObjectNumber: 11, Title: Glass beaker,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown and blobbed,  Dimensions: Diam.: 3 3/4 in. (9.5 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.169
tempObjectNumber: 12, Title: Amphora,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 7 3/4in. (19.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.487
tempObjectNumber: 13, Title: Terracotta bowl fragment,  Period: Early Imperial Tiberian,  Date: ca. A.D. 15–35,  Culture: Roman,  Medium: Terracotta,  Dimensions: 3 3/16 × 1 3/4 × 3/16 in. (8.1 × 4.4 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2094
tempObjectNumber: 14, Title: Marble architectural fragment,  Period: Classical,  Date: ca. 421–409 B.C.,  Culture: Greek Attic,  Medium: Marble,  Dimensions: length  6in. (15.3cm),  Classification: Stone Sculpture,  Credit Line: Gift of Marcus T. Reynolds 1912,  Accession Number: 12.19
tempObjectNumber: 15, Title: Limestone statuette of a female lyre player,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 14 x 5 7/8 x 3 in. (35.6 x 14.9 x 7.6 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2641
tempObjectNumber: 16, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: H.: 3/4 x 1 11/16 in. (2 x 4.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1764
tempObjectNumber: 17, Title: Bronze handle of a hydria (water jar),  Period: Archaic,  Date: early 6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Overall: 10 1/2 x 9 13/16in. (26.7 x 25cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1093
tempObjectNumber: 18, Title: Lamp representing Bes,  Period: Cypro-Archaic II,  Date: end of the 6th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 9 3/8 in. (23.3  cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2364
tempObjectNumber: 19, Title: Terracotta chalice,  Period: Archaic,  Date: ca. 575–550 B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 5 7/16 in. (13.8 cm); diameter  5 7/8 in. (14.9 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.117
tempObjectNumber: 20, Title: Nenfro statue of a winged lion,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Nenfro,  Dimensions: H. 37 1/2 in. (95.3 cm); length  28 3/4 in. (73 cm); width at haunches  13 3/4 in. (35 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1960,  Accession Number: 60.11.1
