tempObjectNumber: 1, Title: Terracotta pyxis (cosmetic box) with domed lid,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek Asia Minor,  Medium: Terracotta; white-ground,  Dimensions: h. with lid 6 3/4 in. (17.1 cm); h. without lid 4 7/16 in. (11.4 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.12a b
tempObjectNumber: 2, Title: Mosaic pavement fragment,  Culture: Roman,  Medium: Tile mortar,  Dimensions: Other: 9 1/8 × 6 5/16 in. (23.2 × 16 cm),  Classification: Miscellaneous-Mosaic,  Credit Line: Purchase 1896,  Accession Number: 96.9.474
tempObjectNumber: 3, Title: Limestone votive thumb,  Period: Late Classical–Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 2 3/4 in. (7 cm); Diam. 1 1/8 in. (2.9 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5174
tempObjectNumber: 4, Title: Terracotta vase on a high foot with two goats' heads in relief,  Period: Cypro-Geometric I,  Date: ca. 1050–950 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 8 3/16 in. (20.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.783
tempObjectNumber: 5, Title: Sard ring stone,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Length: 7/16 in. (1.1 cm),  Classification: Gems,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.48
tempObjectNumber: 6, Title: Stemmed dish,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: diameter  6 11/16 in. (17 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1916,  Accession Number: 16.75.10
tempObjectNumber: 7, Title: Intaglio in ring,  Period: Migration,  Date: 7th century A.D.,  Culture: Langobardic,  Medium: Chalcedony gold,  Dimensions: Width: 13/16 in. (2.1 cm),  Classification: Gems,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.128
tempObjectNumber: 8, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 400–350 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure/black-glaze,  Dimensions: 8 1/16 x 6 5/8in. (20.5 x 16.8cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.71
tempObjectNumber: 9, Title: Glass finger ring,  Period: Late Imperial,  Date: ca. 4th century A.D.,  Culture: Roman or later,  Medium: Glass,  Dimensions: H.: 1/4 in. (0.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.348
tempObjectNumber: 10, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 5/8in. (6.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.26
tempObjectNumber: 11, Title: Terracotta squat lekythos (oil flask),  Period: Classical,  Date: ca. 450–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 6 5/8 in. (16.8 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.9
