tempObjectNumber: 1, Title: Amulet Khnum,  Medium: Clay glazed,  Dimensions: Other: 2 1/16 x 7/16 x 11/16 in. (5.2 x 1.1 x 1.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4480
tempObjectNumber: 2, Title: Lamp,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 3/4 in. (3.2 x 9.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1885
tempObjectNumber: 3, Title: Terracotta applique fragment of ivy leaves and berries,  Period: Hellenistic,  Date: 200–100 B.C.,  Culture: Greek Pergamene,  Medium: Terracotta; mold made,  Dimensions: h. 2 1/8 in. (5.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2027
tempObjectNumber: 4, Title: Terracotta statuette of a goat,  Period: Archaic,  Date: late 6th or early 5th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: Overall: 4 3/8 in. (11.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1955,  Accession Number: 55.11.7
tempObjectNumber: 5, Title: Bronze statue of Eros sleeping,  Period: Hellenistic period,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Height (w/ base): 18 in. (45.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1943,  Accession Number: 43.11.4
tempObjectNumber: 6, Title: Group of four figures,  Period: Late Classical,  Date: 4th century B.C.,  Culture: East Greek Lydian,  Medium: Terracotta,  Dimensions: Overall: 5 3/16 x 5 1/4 in. (13.2 x 13.3 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.15
tempObjectNumber: 7, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: late 3rd century B.C.,  Culture: Greek Ptolemaic Cretan,  Medium: Terracotta,  Dimensions: h. 17 13/16 in. (45.3 cm); d. 9 3/4 in. (24.8 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.14
tempObjectNumber: 8, Title: Ladle,  Period: Early–Middle Cypriot,  Date: 2500–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 5 3/8in. (13.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1284
tempObjectNumber: 9, Title: Statuette of a woman votary 5 ?,  Date: ca. 700–500 B.C.,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 1/4 in. (3.2 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.32
tempObjectNumber: 10, Title: Terracotta kylix (drinking cup),  Attribution: the manner of the Antiphon Painter,  Period: Late Archaic,  Date: 1st quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam.: 9 in. (22.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.48
tempObjectNumber: 11, Title: Glass jar,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 1 7/8 in. (4.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.103
tempObjectNumber: 12, Title: Jug,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 4 11/16 in. (11.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.864
tempObjectNumber: 13, Title: Fragment of the marble stele (grave marker) of a hoplite (foot soldier),  Period: Archaic,  Date: ca. 525–515 B.C.,  Culture: Greek Attic,  Medium: Marble Hymettian,  Dimensions: Overall: 55 15/16 x 20 1/8 in. (142.1 x 51.1 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1938,  Accession Number: 38.11.13
tempObjectNumber: 14, Title: Statuette of a girl,  Period: Archaic,  Culture: Greek ?,  Medium: Bronze,  Dimensions: H.: 3 13/16 in. (9.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1913,  Accession Number: 13.225.3
tempObjectNumber: 15, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H. 4 1/2 in. (11.5 cm); diameter  1 3/8 in. (3.5 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.27
tempObjectNumber: 16, Title: Glass jug,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman Rhenish,  Medium: Glass; blown and trailed,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.198
tempObjectNumber: 17, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 5/8 x 3/8 x 1/8 in. (1.6 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.162
tempObjectNumber: 18, Title: Standing male(?) figurine holding a bird,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 8 15/16 in. (22.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1715
tempObjectNumber: 19, Title: Dish,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Diameter: 8 1/2 in. (21.6 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.54b
tempObjectNumber: 20, Title: Terracotta statuette of an actor,  Period: Late Classical,  Date: late 5th–early 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 4 5/16 in. (11.0 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1913,  Accession Number: 13.225.14
tempObjectNumber: 21, Title: Ring pendant with scarab,  Medium: Silver Egyptian paste,  Dimensions: Other (width of ring): 1 3/16 in. (2.9 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4170
tempObjectNumber: 22, Title: Gold necklace with lion's head terminals,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 15 1/4 in. (38.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3660
tempObjectNumber: 23, Title: Vase fragment,  Period: Neolithic second period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Thessaly,  Medium: Terracotta,  Dimensions: length  3 3/4in. (9.5cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.36
tempObjectNumber: 24, Title: Oinochoe,  Attribution: the Painter of the Edinburgh Oinochoe,  Period: Classical,  Date: ca. 430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diam. of foot: 2 1/16 in. (5.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.175
tempObjectNumber: 25, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 1/2 x 1 3/8in. (3.8 x 3.5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.201
tempObjectNumber: 26, Title: Vase,  Medium: Glass paste,  Dimensions: 2 1/4 x 1 3/4 in.  (5.7 x 4.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1750
tempObjectNumber: 27, Title: Glass bowl,  Period: Early Imperial Flavian,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 3/8 in. (8.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.171
tempObjectNumber: 28, Title: Terracotta statuette of a male flute-player,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and handmade,  Dimensions: H. 5 7/8 in. (14.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1691
