tempObjectNumber: 1, Title: Vase fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 1/16 × 1 11/16 × 3/16 in. (2.7 × 4.3 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2114
tempObjectNumber: 2, Title: Glass cup,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 15/16 in. (7.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.60
tempObjectNumber: 3, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 1/16 × 3 1/8 × 1/4 in. (5.2 × 8 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1988
tempObjectNumber: 4, Title: Terracotta lamp,  Date: ca. A.D. 40–100,  Culture: Roman Cypriot,  Medium: Terracotta; mold-made,  Dimensions: Overall: 1 1/16 x 3 3/4 in. (2.7 x 9.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2192
tempObjectNumber: 5, Title: Glass jug,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 5 7/16 in. (13.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.98
tempObjectNumber: 6, Title: Limestone beardless male head with a wreath of rosettes,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 10 x 7 x 8 3/4 in. (25.4 x 17.8 x 22.2 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2808
tempObjectNumber: 7, Title: Lead disk with a hole in the center,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.155
tempObjectNumber: 8, Title: Stamp with rosette design,  Medium: Terracotta,  Dimensions: 1 7/8 x 3/4 in.  (4.8 x 1.9 cm),  Classification: Terracottas,  Credit Line: Purchase 1896,  Accession Number: 96.9.234
tempObjectNumber: 9, Title: Vase fragment,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 2 15/16 x 6 1/2in. (7.4 x 16.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.34.13
tempObjectNumber: 10, Title: Bronze serpentine-type fibula (safety pin),  Period: Geometric,  Date: 8th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: Other: 3 3/8 in. (8.6 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.336
tempObjectNumber: 11, Title: Terracotta lamp,  Period: Early Imperial Augustan,  Date: ca. 20 B.C.–A.D. 25,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Overall: 15/16 x 3 1/8 in. (2.4 x 8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1924
tempObjectNumber: 12, Title: Terracotta kylix (drinking cup),  Period: Late Helladic III,  Date: ca. 1400–1050 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: ,  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.1
tempObjectNumber: 13, Title: Pelike,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 21.21 cm.,  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. John van Benschoten Griggs 1946,  Accession Number: 46.129.12
