tempObjectNumber: 1, Title: Hasp,  Medium: Bronze,  Dimensions: Other: 3in. (7.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5347
tempObjectNumber: 2, Title: Bell,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 7/16in. (1.1cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5629
tempObjectNumber: 3, Title: Terracotta stirrup jar,  Period: Late Helladic IIIB,  Date: ca. 1300–1190 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 7 in. (17.8 cm.),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.102
tempObjectNumber: 4, Title: Limestone statuette of a youthful votary wearing a pointed cap,  Period: Cypro-Archaic II,  Date: Late 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 18 x 4 x 6 7/8 in. (45.7 x 10.2 x 17.5 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2599
tempObjectNumber: 5, Title: Bronze statuette of a bull,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Length 3 9/16 in. (9 cm),  Classification: Bronzes,  Credit Line: Gift of Mrs. Helen H. Mertens 1977,  Accession Number: 1977.194.1
tempObjectNumber: 6, Title: Bronze strainer with openwork handle,  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: length  11 1/2in. (29.2cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1912,  Accession Number: 12.160.8
tempObjectNumber: 7, Title: Silver spiral,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Silver,  Dimensions: L. 1. 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3089
tempObjectNumber: 8, Title: Sard intaglio: Isis,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 7/16 x 3/8 x 1/8 in. (1.1 x 0.9 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.292
tempObjectNumber: 9, Title: Object ?,  Medium: Bronze,  Dimensions: Other: 6 in. (15.2 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.130
tempObjectNumber: 10, Title: Ring,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Garnet gold,  Dimensions: Other: 1 x 1 x 1/2 in. (2.5 x 2.6 x 1.3 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4248
tempObjectNumber: 11, Title: Chlorite pendant in the form of the head of an Assyrian,  Period: Archaic,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Steatite,  Dimensions: Overall: 1 × 1/2 × 1/2 in. (2.5 × 1.3 × 1.3 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5011
tempObjectNumber: 12, Title: Jug barrel-shaped,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 11 5/8 in. (29.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.712
tempObjectNumber: 13, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 5/16 x 1/8 in. (0.8 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1026
tempObjectNumber: 14, Title: Fragment of a bronze military diploma,  Period: Mid-Imperial Trajanic,  Date: A.D. 113/14,  Culture: Roman,  Medium: Bronze,  Dimensions: Overall: 3 1/16 x 2 3/4 x 1/16 in. (7.8 x 7 x 0.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.52
tempObjectNumber: 15, Title: Terracotta kylix: eye-cup (drinking cup),  Period: Archaic,  Date: ca. 530 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  11 1/4 in. (28.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.198.2
tempObjectNumber: 16, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: H.: 1 5/8 x 1 3/16 in. (4.2 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1683
tempObjectNumber: 17, Title: Bracelet,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 2 15/16in. (7.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5480
tempObjectNumber: 18, Title: Marble torso of the so-called Apollo Lykeios,  Period: Mid-Imperial Hadrianic or Antonine,  Date: A.D. 130–161,  Culture: Roman,  Medium: Marble Island,  Dimensions: H. 38 in. (96.5 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Mrs. Frederick F. Thompson 1903,  Accession Number: 03.12.12a
tempObjectNumber: 19, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: late 3rd century B.C.,  Culture: Greek Ptolemaic Cretan,  Medium: Terracotta,  Dimensions: h. 14 5/16 in. (36.4 cm); d. 9 5/8 in. (24.5 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.35
tempObjectNumber: 20, Title: Terracotta statuette of a satyr,  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 8 5/16 in. (21.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.33
tempObjectNumber: 21, Title: Glass krater (mixing bowl),  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Glass; cast and cut,  Dimensions: Diam.: 11 in. (27.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.130
tempObjectNumber: 22, Title: Terracotta stand for a cauldron,  Period: Archaic,  Date: 7th century B.C.,  Culture: Italic Villanovan,  Medium: Terracotta,  Dimensions: Other: 12 7/16in. (31.6cm),  Classification: Vases,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.9
tempObjectNumber: 23, Title: Glass two-handled bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 1/16 in. (7.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.158
tempObjectNumber: 24, Title: Glass alabastron (perfume bottle),  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: Diam.: 1 13/16 x 2 1/8 in. (4.6 x 5.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.789
tempObjectNumber: 25, Title: Terracotta head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 8 1/2 in. (21.6 cm),  Classification: Terracottas,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.173
tempObjectNumber: 26, Title: Glass conical beaker or lamp,  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown with applied decoration and cut,  Dimensions: H.: 7 1/4 x 4 3/4 in. (18.4 x 12.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.149
