tempObjectNumber: 1, Title: Bronze stylus,  Period: Imperial,  Date: 1st‒2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: 2 15/16 in. (7.5 cm.),  Classification: Bronzes,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.35
tempObjectNumber: 2, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 3/8 in. (2.5 x 8.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2032
tempObjectNumber: 3, Title: Intaglio,  Culture: Roman,  Medium: Garnet,  Dimensions: Other: 5/8 x 7/16 x 1/4 in. (1.5 x 1.2 x 0.6 cm),  Classification: Gems,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.45
tempObjectNumber: 4, Title: Jug,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 6 1/4 in. (15.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1038
tempObjectNumber: 5, Title: Glass die,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; cast and cut,  Dimensions: Overall: 9/16 x 1/2 in. (1.4 x 1.3 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.332
tempObjectNumber: 6, Title: Roundel disk,  Medium: Bone,  Dimensions: Diameter: 2 3/4 x 1/16 in. (7 x 0.2 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5211
tempObjectNumber: 7, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: H.: 15/16 x 1 7/16 in. (2.4 x 3.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1723
tempObjectNumber: 8, Title: Terracotta lamp fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 3 1/2 × 2 3/4 × 1/2 in. (8.9 × 7 × 1.3 cm),  Classification: Terracottas,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2059
tempObjectNumber: 9, Title: Handle of a bowl,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other (length-end to end): 2 7/8in. (7.3cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5445
tempObjectNumber: 10, Title: Terracotta kantharos (drinking cup with high handles),  Period: Late Classical,  Date: late 4th–early 3rd century  B.C.,  Culture: Greek South Italian Apulian Gnathian,  Medium: Terracotta; applied color,  Dimensions: H. 4 1/2 in. (11.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.177
tempObjectNumber: 11, Title: Terracotta neck-amphora (jar),  Period: Archaic,  Date: last quarter of 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  10 13/16 in. (27.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.171
tempObjectNumber: 12, Title: Silver oinochoe (jug),  Period: Late Classical or Hellenistic,  Date: late 4th–mid 3rd century B.C.,  Culture: Greek,  Medium: Silver gold,  Dimensions: diameter  3 1/4 in. (8.2 cm),  Classification: Gold and Silver,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.156
tempObjectNumber: 13, Title: Limestone horse with a rider hunting a lion,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Other: H.:7 x W.:2 3/4 x L.:8 3/4 in. (17.8 x 7 x 22.2 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2609
tempObjectNumber: 14, Title: Terracotta askos (flask with a spout and handle over the top),  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: Overall: 2 5/8 x 4 1/4in. (6.6 x 10.8cm),  Classification: Vases,  Credit Line: Purchase The Abraham Foundation Inc. Gift 1978,  Accession Number: 1978.11.1
tempObjectNumber: 15, Title: Cup toy,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Diameter: 1 3/16 × 15/16 in. (3 × 2.4 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.210
tempObjectNumber: 16, Title: Silver-gilt cup (one of a pair),  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek South Italian,  Medium: Silver gold,  Dimensions: H. 2 3/8 in. (6 cm); diameter  5 15/16 in. (15 cm); length including handles 10 1/16 in. (25.5 cm),  Classification: Gold and Silver,  Credit Line: Purchase Patti Cadby Birch Gift 1993,  Accession Number: 1993.367.2
tempObjectNumber: 17, Title: Terracotta vessel fragment with three bands and a scale pattern,  Period: Late Helladic IIIA,  Date: ca. 1400–1300 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: Other: 1 1/8 x 1 in. (2.9 x 2.5 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Wendell T. Bush 1910,  Accession Number: 10.179.2
tempObjectNumber: 18, Title: Terracotta volute-lamp with Pegasus,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: H. 1 11/16 in. (4.3 cm.),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2070
tempObjectNumber: 19, Title: Mirror,  Culture: Greek Cypriot,  Medium: Bronze,  Dimensions: Other: 5 11/16in. (14.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5406
tempObjectNumber: 20, Title: Glass square bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Other: 1 7/16in. (3.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.111
tempObjectNumber: 21, Title: Amphora,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10 1/4in. (26cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.667
tempObjectNumber: 22, Title: Terracotta oinochoe (jug),  Period: Hellenistic,  Date: ca. 325–300 B.C.,  Culture: Greek South Italian Gnathian,  Medium: Terracotta; applied color,  Dimensions: H.: 9 5/16 in. (23.7 cm),  Classification: Vases,  Credit Line: Gift of L. P. di Cesnola 1876,  Accession Number: 76.12.8
tempObjectNumber: 23, Title: Bronze sestertius of the emperor Trajan,  Period: Mid-Imperial Trajanic,  Date: A.D. 112–114,  Culture: Roman,  Medium: Bronze,  Dimensions: 0.8oz. (22.1g),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.121
tempObjectNumber: 24, Title: Statuette of Poseidon 4,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 9/16 in. (4 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.91
tempObjectNumber: 25, Title: Terracotta skyphos (deep drinking cup),  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 3 1/4 in. (8.3 cm); diameter  4 in. (10.1 cm); width with handles  6 1/4 in. (15.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.127
tempObjectNumber: 26, Title: Silver pendant in the form of a ram's head,  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H.: 1 3/16 in. (3 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.122
tempObjectNumber: 27, Title: Glass pendant in the form of a bunch of grapes,  Period: Late Hellenistic,  Date: late 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; cast in a two-part mold,  Dimensions: Other: 7/8 x 9/16 x 3/8 in. (2.2 x 1.4 x 1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.575
tempObjectNumber: 28, Title: Jug,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 4 in. (10.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1155
