tempObjectNumber: 1, Title: Glass dish,  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 13 1/2 in. (34.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.96
tempObjectNumber: 2, Title: Terracotta kylix fragment,  Attribution: the Brygos Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Purchase Jerome Levy Foundation Gift 1981,  Accession Number: 1981.11.14
tempObjectNumber: 3, Title: Juglet,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 15/16in. (12.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1205
tempObjectNumber: 4, Title: Gold pendant in the form of a bull's head,  Period: Late Bronze Age,  Date: ca. 1400–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: L. 1 5/16 in. (3.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3119
tempObjectNumber: 5, Title: Seal,  Culture: Minoan,  Medium: Jasper red,  Dimensions: Other: 3/4 x 5/16 in. (1.9 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.345
tempObjectNumber: 6, Title: Gold pin with obsidian finial,  Period: Late Hellenistic or Early Imperial,  Date: ca. 1st century A.D.,  Culture: Roman,  Medium: Gold and Obsidian,  Dimensions: width of head  5/8 in. (1.6 cm),  Classification: Gold and Silver,  Credit Line: Gift of Estate of David M. Daniels 2002,  Accession Number: 2002.609
tempObjectNumber: 7, Title: Glass bowl decorated with hunting scenes,  Period: Late Imperial,  Date: 2nd half of the 4th–early 5th century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: diameter  7 1/16 in. (18 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.328
tempObjectNumber: 8, Title: Statuette of Herakles,  Period: Classical,  Date: 450–400 B.C.,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: H. 7 1/4 in. (18.4 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.51
tempObjectNumber: 9, Title: Kylix fragment,  Attribution: the Penthesilea Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: 3 7/16 × 3 11/16 × 1/4 in. (8.8 × 9.4 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1974,  Accession Number: 1974.351.2
tempObjectNumber: 10, Title: Terracotta amphora,  Period: Middle Cypriot III,  Date: ca. 1725–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 17 3/8 in. (44.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.845
tempObjectNumber: 11, Title: Intaglio,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 7/16 x 3/8 x 3/16 in. (1.2 x 1 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.863
