tempObjectNumber: 1, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 5/16 × 1 1/4 × 1/8 in. (3.4 × 3.2 × 0.3 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.189
tempObjectNumber: 2, Title: Miniature glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 15/16 x 5/8 in. (2.4 x 1.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5788
tempObjectNumber: 3, Title: Glass beaker,  Period: Early Imperial Flavian,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a four-part mold and cut,  Dimensions: H. 4 13/16 in. (12.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.232
tempObjectNumber: 4, Title: Terracotta statuette of Eros flying,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 2 7/8 in. (7.3 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.31
tempObjectNumber: 5, Title: Kylix fragment,  Attribution: the Foundry Painter,  Period: Late Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: greatest dim.  4.09 cm.,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1978,  Accession Number: 1978.347.4
tempObjectNumber: 6, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 3/8 x 1 in. (6 x 2.5 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5758
tempObjectNumber: 7, Title: Lekythos,  Attribution: the Quadrate Painter,  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 3 1/2 × 2 3/16 × 2 7/16 in. (8.9 × 5.6 × 6.2 cm),  Classification: Vases,  Credit Line: Purchased by subscription 1899,  Accession Number: 99.13.4
tempObjectNumber: 8, Title: Intaglio in ring,  Medium: Carnelian silver,  Dimensions: Other: 15/16 x 1 x 3/4 in. (2.3 x 2.5 x 1.9 cm),  Classification: Gems,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.5
tempObjectNumber: 9, Title: Bronze tripod and dinos (deep round-bottomed bowl),  Period: Archaic,  Date: ca. 525–475 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: total H. 35 3/4 in. (90.8 cm),  Classification: Bronzes,  Credit Line: Gift of Estate of Jacob Hirsch in memory of Dr. and Mrs. Jacob Hirsch 1955,  Accession Number: 55.129.1a b
tempObjectNumber: 10, Title: Neck-amphora with lid,  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Italic South Italian,  Medium: Terracotta,  Dimensions: Height (Total height): 16 in. (40.6 cm),  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.460a b
tempObjectNumber: 11, Title: Marble column drum fragment,  Period: Classical,  Date: 3rd quarter of the 5th century B.C.,  Culture: Greek Attic,  Medium: Marble,  Dimensions: 36 x 5 x 2 1/2 in.  (91.4 x 12.7 x 6.3 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Mr. Charles Eliot Norton 1965,  Accession Number: 65.23
tempObjectNumber: 12, Title: Rhyton in the form of a cow's head fragment,  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1973,  Accession Number: 1973.212.3
tempObjectNumber: 13, Title: Limestone fragment of a lyre or throne,  Period: Hellenistic,  Date: 3rd–1st century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H.: 7 3/4 x 2 x 3 1/2 in. (19.7 x 5.1 x 8.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2583
tempObjectNumber: 14, Title: Glass beaker with indented sides,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: H.: 4 in. (10.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.204
tempObjectNumber: 15, Title: Beads with female head,  Culture: Cypriot,  Medium: Silver,  Dimensions: Other (I): 5/8 x 9/16 x 3/16 in. (1.6 x 1.4 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3279a–i
tempObjectNumber: 16, Title: Terracotta neck-amphora (jar),  Period: Archaic,  Date: ca. 550–540 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 6 1/8 in. (15.5 cm); diameter  3 9/16 in. (9.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.32
tempObjectNumber: 17, Title: Terracotta vessel fragment with floral or marine motif,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark-on-light ware,  Dimensions: Other: 2 1/16 x 1 7/8 in. (5.2 x 4.8 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.105
tempObjectNumber: 18, Title: Terracotta skyphos (deep drinking cup),  Period: Classical,  Date: ca. 460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Overall: 3 1/4 x 6 5/8in. (8.2 x 16.9cm); diameter  4 3/8in. (11.2cm),  Classification: Vases,  Credit Line: Rogers Fund 1967,  Accession Number: 67.11.23
tempObjectNumber: 19, Title: Gold and carnelian boat-shaped earring,  Period: Late Archaic,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Gold carnelian,  Dimensions: Other: 7/8 in. (2.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3244
