tempObjectNumber: 1, Title: Terracotta plaque,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: 2 7/8 in. x 3 1/4 in. (7.4 cm x 7.9 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.21
tempObjectNumber: 2, Title: Glass aryballos (oil bottle),  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 4 1/16 in. (10.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.292
tempObjectNumber: 3, Title: Glass monochrome dish fragment,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Overall: 1 1/4 x 2 in. (3.2 x 5.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1668
tempObjectNumber: 4, Title: Awl,  Culture: Cypriot,  Medium: Bone,  Dimensions: Other: 1/2 x 3 1/8 in. (1.3 x 8 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5267
tempObjectNumber: 5, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 7/8 in. (2.2 x 2.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1924
tempObjectNumber: 6, Title: Fibula Aucissa type,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman,  Medium: Bronze and iron,  Dimensions: Other: 1 7/8 in. (4.7 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.26
tempObjectNumber: 7, Title: Statuette of a goddess,  Period: Archaic,  Date: 6th century B.C.,  Medium: Terracotta,  Dimensions: H.: 4 1/8 in. (10.5 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Frank Knox 1953,  Accession Number: 53.192.2
tempObjectNumber: 8, Title: Aureus of Julius Caesar,  Period: Late Republic,  Date: 46 B.C.,  Culture: Roman,  Medium: Gold,  Dimensions: Diameter: 13/16 × 1/16 in. 0.3oz. (2 × 0.2 cm 7.79g),  Classification: Coins,  Credit Line: Gift of C. Ruxton Love Jr. 1967,  Accession Number: 67.265.33
tempObjectNumber: 9, Title: Gold earring with nail-head pendant,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1 3/16 in. (3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3216
tempObjectNumber: 10, Title: Glass globular bottle,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Glass,  Credit Line: Gift of Mrs. Elias Kempner 1934,  Accession Number: 34.132.32
tempObjectNumber: 11, Title: Terracotta rim fragment with white inlay,  Period: Middle Minoan II,  Date: ca. 1800–1700 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: Overall: 1 7/8 x 2 1/16in. (4.8 x 5.2cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.44
tempObjectNumber: 12, Title: Gold earring with head of a lion,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 1/4 x 9/16 in. (1.6 x 0.7 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3408
tempObjectNumber: 13, Title: Head of a woman,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 2 1/2 in. (6.35 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.118
tempObjectNumber: 14, Title: Kylix Little-master cup/lip-cup/band-cup,  Attribution: the Caron Group,  Period: Archaic,  Date: 3rd quarter of 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diameter: 8 1/2 × 3 1/2 in. (21.6 × 8.9 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.86
tempObjectNumber: 15, Title: Statuette of a woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 6 3/4 in. (17.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.15
