tempObjectNumber: 1, Title: Tripod,  Culture: Greek South Italian,  Medium: Terracotta,  Dimensions: Diameter: 2 7/16 in. (6.2 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.20
tempObjectNumber: 2, Title: Terracotta kylix (drinking cup),  : Signed by Hieron as potter Attributed to Makron,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  13 1/4 in. (33.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.231.1
tempObjectNumber: 3, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 11/16 x 13/16 in. (1.8 x 2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1930
tempObjectNumber: 4, Title: Bowl fragment Phoenician inscription,  Date: ca. 389 B.C.,  Culture: Cypriot,  Medium: Marble white,  Dimensions: Overall: 1 3/4 x 3 1/2 x 3/4 in. (4.4 x 8.9 x 1.9 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2288
tempObjectNumber: 5, Title: Bead ornaments in the form of female head,  Period: Classical,  Date: 6th–5th century B.C.,  Culture: Greek,  Medium: Electrum,  Dimensions: Other: 7/16 × 7/16 × 3/16 in. (1.1 × 1.1 × 0.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.55
tempObjectNumber: 6, Title: Bowl,  Period: Early–Middle Cypriot,  Date: 2500–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 10 3/4in. (27.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1337
tempObjectNumber: 7, Title: Metabauxite axe,  Period: Neolithic,  Date: 5th–4th millennium B.C.,  Culture: Cretan,  Medium: Stone,  Dimensions: 2 1/4 in. a 1 3/4 in. (5.6 x 4.4 cm),  Classification: Miscellaneous-Stone,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.391
tempObjectNumber: 8, Title: Terracotta vessel fragment with floral design,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark-on-light ware,  Dimensions: H. 2 1/8 in. (5.4 cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.58
tempObjectNumber: 9, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H10.8cm D6.4cm (rim1.8cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1355
tempObjectNumber: 10, Title: Glass astragal (knucklebone),  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Glass; cast in a two-part mold,  Dimensions: Overall: 13/16 x 3/8 x 3/8 in. (2.1 x 1 x 1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.570
tempObjectNumber: 11, Title: Glass modiolus (one-handled drinking cup),  Period: Early Imperial Julio-Claudian or Flavian,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and decorated with marvered blobs,  Dimensions: H.: 4 13/16 in. (12.2 cm),  Classification: Glass,  Credit Line: H.O. Havemeyer Collection Bequest of Mrs. H.O. Havemeyer 1929,  Accession Number: 29.100.71
tempObjectNumber: 12, Title: Kylix fragments,  Attribution: the Triptolemos Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1977,  Accession Number: 1977.16.2a–c
tempObjectNumber: 13, Title: Wall painting,  Period: Late Republican,  Date: ca. 40–30 B.C.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 69 x 17in. (175.3 x 43.2cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of C. & E. Canessa 1908,  Accession Number: 08.264
tempObjectNumber: 14, Title: Fragment of a terracotta neck-amphora (jar),  Attribution: the Painter of the Geneva Orestes,  Period: Late Classical,  Date: ca. 360–350 B.C.,  Culture: Greek South Italian Paestan,  Medium: Terracotta; red-figure,  Dimensions: Overall: 3 7/8 x 4 11/16 in. (9.8 x 11.9 cm),  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1985,  Accession Number: 1985.74
tempObjectNumber: 15, Title: Shield bearer,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 5 15/16 in. (15.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1657
tempObjectNumber: 16, Title: Terracotta pelike (jar),  Period: Late Classical,  Date: ca. 400–350 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; black-glaze,  Dimensions: H. 21 1/8 in. (53.6 cm),  Classification: Vases,  Credit Line: Bequest of Benjamin Altman 1913,  Accession Number: 14.40.804
tempObjectNumber: 17, Title: Terracotta statuette of a woman seated on a rock,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian,  Medium: Terracotta,  Dimensions: H.: 8 3/4 in. (22.2 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.9
