tempObjectNumber: 1, Title: Glass bracelet,  Period: Archaic or Classical,  Date: ca. 2nd half of 6th century B.C. or later,  Culture: East Greek or Lydian,  Medium: Glass,  Dimensions: Other: 3 3/16in. (8.1cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.141
tempObjectNumber: 2, Title: Terracotta base of cup with marine design,  Period: Late Minoan IB,  Date: ca. 1525–1450 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark-on-light ware,  Dimensions: Overall: 3 5/8in. (9.2cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.55
tempObjectNumber: 3, Title: Bowl,  Medium: Bronze,  Dimensions: Other: 6 1/2in. (16.5cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4617
tempObjectNumber: 4, Title: Amphoriskos,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 2 11/16 in. (6.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.872
tempObjectNumber: 5, Title: Earring crescent-shaped,  Medium: Gold,  Dimensions: ,  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3909
tempObjectNumber: 6, Title: Lamp,  Period: Late Antique,  Date: 4th century A.D.,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Other: 2 5/8 in. (6.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5880
tempObjectNumber: 7, Title: Bronze ladle terminating in two ducks' heads,  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: Other (D. of bowl): 3 5/8 in. (9.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.35
tempObjectNumber: 8, Title: Conical spindle-whorl with flat base,  Period: Middle Cypriot I-II,  Date: ca. 1900–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 1 5/8 in.  (4.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.910
tempObjectNumber: 9, Title: Gilded bronze spiral earring,  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Greek,  Medium: Bronze gold,  Dimensions: H.: 1 3/8 in. (3.5 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1913,  Accession Number: 13.43.1
tempObjectNumber: 10, Title: Terracotta statuette of Eros banqueting,  Period: Hellenistic,  Date: 3rd century B.C. or later,  Culture: Cypriot,  Medium: Terracotta; mold-made and handmade,  Dimensions: H. 2 5/16 in. (5.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1595
tempObjectNumber: 11, Title: Earring crescent-shaped,  Medium: Gold,  Dimensions: Other: 13/16 × 15/16 × 1/8 in. (2 × 2.4 × 0.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3885
tempObjectNumber: 12, Title: Terracotta stemless kylix (drinking cup),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: width  20.29 cm.,  Classification: Vases,  Credit Line: Bequest of Armida B. Colt 2011,  Accession Number: 2012.477.6
tempObjectNumber: 13, Title: Chlorite mortar,  Period: Late Bronze Age or Geometric,  Date: ca.1600–700 B.C.,  Culture: Cypriot,  Medium: Chlorite,  Dimensions: H. 1 1/2 in. (3.8 cm); Diam. 4 1/16 in. (10.3 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5053
tempObjectNumber: 14, Title: Standing female figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 8 in. (20.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1551
tempObjectNumber: 15, Title: Marble head of a youth,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: Overall: 7 x 4 5/8 x 5 1/4in. (17.8 x 11.7 x 13.3cm),  Classification: Stone Sculpture,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.111
tempObjectNumber: 16, Title: Earring-hook type with disc and pendant,  Medium: Gold,  Dimensions: Other: 1/4 × 5/16 × 1 1/8 in. (0.7 × 0.8 × 2.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3946
