tempObjectNumber: 1, Title: Magnesite bobbin,  Culture: Cypriot,  Medium: Magnesite,  Dimensions: L. 4 1/16 in. (3.8 cm);  Diam. 1 1/2 (10.3 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5122
tempObjectNumber: 2, Title: Bracelet or torque,  Medium: Bronze,  Dimensions: H.: 4 1/2 x 5 x 3/8 in. (11.4 x 12.7 x 1 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.112
tempObjectNumber: 3, Title: Mosaic glass fragment,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Overall: 1 3/8 x 7/8 in. (3.5 x 2.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.396.127
tempObjectNumber: 4, Title: Mold fragment,  Period: Early Imperial,  Date: ca. 40 B.C.–A.D. 60,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 2 7/16 x 3 3/8in. (6.2 x 8.6cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.110
tempObjectNumber: 5, Title: Bead,  Date: 1st century B.C.–5th century A.D.,  Medium: Glass,  Dimensions: Overall: 7/16 x 9/16 in. (1.1 x 1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.623
tempObjectNumber: 6, Title: Ivory relief,  : Emile Gilliéron,  Dimensions: Other: 3 1/2 × 2 3/4 × 13/16 in. (8.9 × 6.9 × 2 cm),  Accession Number: 15.122.7
tempObjectNumber: 7, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 13/16 x 11/16 in. (2 x 1.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1906
tempObjectNumber: 8, Title: Gold pendant in the form of a bull's head,  Period: Late Bronze Age,  Date: ca. 1400–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: L. 13/16 in. (2.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3137
tempObjectNumber: 9, Title: Marble table leg (trapezophoros) with reliefs of griffins,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: Overall: 25 x 18 1/2 in. 4.8 cm (63.5 x 47 x 4.8 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Jean-Luc and Veronique Chalmin 1994,  Accession Number: 1994.311
tempObjectNumber: 10, Title: Earring or spiral,  Culture: Cypriot,  Medium: Gold bronze,  Dimensions: Diameter: 9/16 x 1/8 x 7/16 in. (1.4 x 0.3 x 1.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3352
tempObjectNumber: 11, Title: Limestone bouquet of flowers,  Period: Classical,  Date: probably 1st half of the 5th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H.: 5 7/8 x 3 1/2 x 3 3/8 in. (14.9 x 8.9 x 8.6 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2606
tempObjectNumber: 12, Title: Terracotta conical-hemispherical spindle-whorl with slightly rounded base,  Period: Early Cypriot III–Middle Cypriot II,  Date: ca. 2000–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; handmade,  Dimensions: H. 1 15/16 in.  (4.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.908
tempObjectNumber: 13, Title: Relief of a head of a woman,  Date: 4th century B.C.,  Culture: Greek Sicilian,  Medium: Terracotta,  Dimensions: H.: 5 7/8 in. (15 cm),  Classification: Terracottas,  Credit Line: Gift of Marion A. Nosser 1977,  Accession Number: 1977.452.1
