tempObjectNumber: 1, Title: Spacer beads from an apron-like garment,  Period: Archaic,  Date: 7th century B.C.,  Culture: Italic,  Medium: Amber,  Dimensions: H.: 13/16 x 1 1/16 in. (2 x 2.7 cm)average,  Classification: Miscellaneous-Faience,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.48
tempObjectNumber: 2, Title: Axehead,  Period: Early Bronze Age,  Date: ca. 3200–2000 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 4 7/8in. (12.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5390
tempObjectNumber: 3, Title: Bronze herm,  Period: Archaic,  Date: ca. 490 B.C.,  Culture: Greek Arcadian,  Medium: Bronze,  Dimensions: H. 3 5/8 in. (9.2 cm),  Classification: Bronzes,  Credit Line: Gift of Norbert Schimmel Trust 1989,  Accession Number: 1989.281.56
tempObjectNumber: 4, Title: Bronze situla (bucket),  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 9 15/16 in. (25.3 cm) diameter 11 7/8 in. (30.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.22
tempObjectNumber: 5, Title: Kylix fragments,  Attribution: Douris,  Period: Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Purchase Mr. and Mrs. Martin Fried Gift and Rogers Fund 1979,  Accession Number: 1979.11.10a–e
tempObjectNumber: 6, Title: Glass alabastron (perfume bottle),  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 3 in. (7.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.772
tempObjectNumber: 7, Title: Vase stamped,  Culture: Cypriot ?,  Medium: Stone,  Dimensions: H.: 3 1/4 x 2 7/8 in. (8.3 x 7.3 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2429
tempObjectNumber: 8, Title: Intaglio,  Medium: Carnelian,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.7 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.215
tempObjectNumber: 9, Title: Glass beaker with inscription,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a three-part mold,  Dimensions: H. 3 in. (7.6 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.210
tempObjectNumber: 10, Title: Terracotta kylix (drinking cup),  Attribution: an artist near the Splanchnopt Painter,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  13 3/16 in. (33.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.79
tempObjectNumber: 11, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 8 1/8in. (20.6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.701
tempObjectNumber: 12, Title: Terracotta amphora (jar),  Attribution: the Bateman Group,  Period: Archaic,  Date: ca. 530–520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  14 in. (35.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.198.4
tempObjectNumber: 13, Title: Plate Genucilia,  Period: Classical,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 5.84 cm.,  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. Jason Berger 1982,  Accession Number: 1982.330.2
tempObjectNumber: 14, Title: Limestone woman,  Period: Archaic,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 7 1/2 x 2 1/2 x 2 in. (19.1 x 6.4 x 5.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2547
tempObjectNumber: 15, Title: Fragment of a terracotta lebes gamikos (round-bottomed bowl with handles and stand used in weddings),  Attribution: the Earlier Mannerists,  Period: Classical,  Date: ca. 440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 4 in. (10.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.57
tempObjectNumber: 16, Title: Gold pendant with tassels,  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 3/16 in. (3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3324
tempObjectNumber: 17, Title: Miniature bronze shield,  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan Vulci,  Medium: Bronze,  Dimensions: Diam.: 3 7/16 in. (8.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.111
tempObjectNumber: 18, Title: Statuette of a woman,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H.: 6 3/8 in. (16.2 cm),  Classification: Terracottas,  Credit Line: Gift of Ernest Brummer 1959,  Accession Number: 59.48.11
tempObjectNumber: 19, Title: Fragment of a terracotta architectural tile,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: Overall: 3 1/8 x 2 3/8 in. (7.9 x 6 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.82
tempObjectNumber: 20, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 3/4 in. (7 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.266
tempObjectNumber: 21, Title: Lamp miniature,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 1 1/8 x 15/16 in.  (2.9 x 2.4 cm),  Classification: Terracottas,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.440
tempObjectNumber: 22, Title: Whorl,  Medium: Amber,  Dimensions: Diameter: 1 13/16 x 5/8 in. (4.6 x 1.6 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase 1896,  Accession Number: 96.9.482
tempObjectNumber: 23, Title: Focolare spoon,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other: 4 5/8in. (11.8cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.116d
tempObjectNumber: 24, Title: Gold roundel of bulbous form,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 3/16 in. (3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3042
tempObjectNumber: 25, Title: Gold ring with carnelian intaglio: winged Nemesis,  Period: Imperial,  Date: 1st–early 3rd century A.D.,  Culture: Roman Cypriot,  Medium: Carnelian gold,  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4234
tempObjectNumber: 26, Title: Bronze fibula (safety pin) with four rings,  Date: 9th century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: length  5 15/16in. (15.1cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.29
tempObjectNumber: 27, Title: Small chalk amphora (jar),  Period: Archaic or Classical ?,  Date: 6th–3rd century B.C.?,  Culture: Cypriot,  Medium: Chalk,  Dimensions: Overall: 5 3/8 x 3 3/4 in. (13.7 x 9.5 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5161
tempObjectNumber: 28, Title: Seal,  Period: Early Minoan III,  Culture: Minoan,  Medium: Serpentine,  Dimensions: Other: 3/8 x 3/8 x 7/16 in. (1 x 1 x 1.1 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.72
tempObjectNumber: 29, Title: Terracotta vase,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek Sicilian Centuripe,  Medium: Terracotta,  Dimensions: H. 15 1/2 in. (39.4 cm),  Classification: Vases,  Credit Line: Purchase Joseph Pulitzer Bequest 1953,  Accession Number: 53.11.5
tempObjectNumber: 30, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 2 7/8 x 1 1/2in. (7.3 x 3.8cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.212
tempObjectNumber: 31, Title: Terracotta stemmed dish,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: diameter  9 5/16 in. (23.7 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1914,  Accession Number: 14.30.12
tempObjectNumber: 32, Title: Intaglio in modern ring,  Medium: Carnelian gold,  Dimensions: Other: 1/16 x 7/16 x 11/16 in. (0.2 x 1.2 x 1.7 cm),  Classification: Gems,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.28
tempObjectNumber: 33, Title: Seal,  Period: Early Minoan III,  Culture: Minoan,  Medium: Steatite,  Dimensions: Other: 7/16 x 1/2 in. (1 x 1.2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.74
tempObjectNumber: 34, Title: Alabaster jug,  Period: Late Cypriot II,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Calcite (alabaster),  Dimensions: H. 5 13/16 in. (14.8 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5111
tempObjectNumber: 35, Title: Vase fragment,  Date: ca. 25 B.C.,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 2 1/16 x 1 11/16in. (5.3 x 4.3cm),  Classification: Vases,  Credit Line: Gift of Piero Tozzi 1941,  Accession Number: 41.136.4
tempObjectNumber: 36, Title: Limestone head of a wreathed youth,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Limestone,  Dimensions: H. 5 3/4 in. (14.6 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.57
tempObjectNumber: 37, Title: Roundel disk,  Culture: Cypriot,  Medium: Bone ?,  Dimensions: Diameter: 1 5/16 x 1/8 in. (3.3 x 0.2 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5233
tempObjectNumber: 38, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 5/8 x 1 3/16 in. (1.5 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1935
tempObjectNumber: 39, Title: Vase,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 6 11/16in. (17cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.108
tempObjectNumber: 40, Title: Terracotta figure of a reclining man holding a kantharos and lyre,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Overall: 11 1/2 x 12in. (29.2 x 30.5cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1920,  Accession Number: 20.216
tempObjectNumber: 41, Title: Glass beaker,  Period: Early Imperial,  Date: 2nd half of 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: diameter  3 5/8 in. (9.2 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.241
tempObjectNumber: 42, Title: Glass miniature bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 1 9/16 in. (4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.110
tempObjectNumber: 43, Title: Pyxis with lid miniature,  Attribution: the Swan Group,  Period: Archaic,  Date: mid-6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Other (height of vase): 1 3/8in. (3.5cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.104a b
tempObjectNumber: 44, Title: Spatula or curette,  Medium: Bronze,  Dimensions: Other: 6 9/16 in. (16.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.61
tempObjectNumber: 45, Title: Terracotta beaked jug,  Period: Middle Minoan IIIB,  Date: ca. 1700–1600 B.C.,  Culture: Cycladic Melian,  Medium: Terracotta,  Dimensions: Other (Height as restored): 21 7/16in. (54.4cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.13
tempObjectNumber: 46, Title: Terracotta oil lamp,  Period: Late Antique,  Date: 3rd–4th century A.D.,  Culture: Roman Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H.: 1 1/16 x 3 1/4 in. (2.7 x 8.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2239
