tempObjectNumber: 1, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 1in. (3.2 x 2.5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.169
tempObjectNumber: 2, Title: Fragment of a terracotta kylix (drinking cup),  Period: Archaic or Classical,  Date: late 6th or early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 3/8 x 1 5/8 x 1/8 in. (1 x 4.1 x 0.4 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.27
tempObjectNumber: 3, Title: Bronze mitra (belly guard),  Period: Archaic,  Date: late 7th century B.C.,  Culture: Greek Cretan,  Medium: Bronze,  Dimensions: Overall: 6 1/16 x 9 9/16in. (15.4 x 24.2cm),  Classification: Bronzes,  Credit Line: Gift of Norbert Schimmel Trust 1989,  Accession Number: 1989.281.51
tempObjectNumber: 4, Title: Aryballos in the form of a foot,  Period: Classical,  Date: ca. 400 B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other: 3 1/2 × 1 3/8 × 4 3/16 × 1 5/16 in. (8.9 × 3.6 × 10.6 × 3.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.124
tempObjectNumber: 5, Title: Bowl,  Period: Cypro-Geometric I,  Date: 1050–950 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 3 3/4in. (9.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.685
tempObjectNumber: 6, Title: Terracotta vase in the shape of a monkey,  Period: Archaic,  Date: ca. 565–550 B.C.,  Culture: Etruscan Etrusco-Corinthian,  Medium: Terracotta,  Dimensions: H. 3 5/8 in. (9.2 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.92
tempObjectNumber: 7, Title: Gold spiral earring with lion-griffin terminal,  Period: Classical,  Date: ca. 400–350 B.C.,  Culture: Greek Cypriot,  Medium: Gold,  Dimensions: Overall: 1 3/8 x 13/16in. (3.5 x 2cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3373
tempObjectNumber: 8, Title: Terracotta pithoid jar,  Period: Late Helladic IIIB,  Date: ca. 1300–1190 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 8 11/16 in. (22.1 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.744
tempObjectNumber: 9, Title: Terracotta amphora (two-handled jar),  Date: ca. late 1st century A.D.,  Culture: Roman,  Medium: Terracotta; lead-glazed ware,  Dimensions: 5 5/16in. (13.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.6
tempObjectNumber: 10, Title: Gold double lion's head earring,  Period: Hellenistic,  Date: last quarter of the 4th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: width (front to back)  1 in. (2.6 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1920,  Accession Number: 20.236
tempObjectNumber: 11, Title: Glass jug,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 5/8 x 2 1/2 in. (4.1 x 6.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.248
tempObjectNumber: 12, Title: Terracotta trozella (two-handled jar),  Period: Classical,  Date: late 5th–early 4th century B.C.,  Culture: Native Italic Apulian Messapian,  Medium: Terracotta,  Dimensions: H. 9 in. (22.9 cm),  Classification: Vases,  Credit Line: Gift of Albert Gallatin 1925,  Accession Number: 25.193
tempObjectNumber: 13, Title: Terracotta cup,  Period: Early Imperial Augustan,  Date: 20 B.C.–A.D. 20,  Culture: Roman,  Medium: Terracotta; lead-glazed ware,  Dimensions: H. 3 3/8 in. (8.6 cm); diameter  3 5/16 in. (8.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.251
tempObjectNumber: 14, Title: Portrait bust of philosopher Chrysippos,  Accession Number: 26.140
tempObjectNumber: 15, Title: Milk bowl,  Period: Early Bronze Age,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 17 7/16in. (44.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1340
tempObjectNumber: 16, Title: Glass ribbed bowl,  Period: Early Imperial,  Date: mid-1st century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Overall: 2 7/16 x 4 in. (6.2 x 10.2 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.264
tempObjectNumber: 17, Title: Bead ornaments in the form of female head,  Period: Classical,  Date: 6th–5th century B.C.,  Culture: Greek,  Medium: Electrum,  Dimensions: Other: 7/16 × 7/16 × 3/16 in. (1.1 × 1.1 × 0.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.56
