tempObjectNumber: 1, Title: Vase Fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 1/16 × 1 3/16 × 3/8 in. (2.7 × 3 × 0.9 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2043
tempObjectNumber: 2, Title: Vase,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Italic-Native Sicilian (Centuripe),  Medium: Terracotta,  Dimensions: 28in. (71.1cm),  Classification: Vases,  Credit Line: Fletcher Fund 1928,  Accession Number: 28.57.20a–c
tempObjectNumber: 3, Title: Silver strigil,  Period: Late Classical or Hellenistic,  Date: late 4th–mid 3rd century B.C.,  Culture: Greek,  Medium: Silver,  Dimensions: length  9 7/8in. (25.1cm),  Classification: Gold and Silver,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.158
tempObjectNumber: 4, Title: Terracotta statuette of dancing Aphrodite with Eros,  Period: Classical,  Date: early 4th century B.C.,  Culture: Greek perhaps Corinthian,  Medium: Back vent,  Dimensions: H. 4 15/16 in. (12.6 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1069
tempObjectNumber: 5, Title: Glass square bottle,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Overall: 4 5/16 x 2 1/16 x 2 in. (11 x 5.2 x 5.1 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.31
tempObjectNumber: 6, Title: Plate,  Medium: Terracotta,  Dimensions: diameter    18.01 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1903
tempObjectNumber: 7, Title: Small nephrite jade axe,  Period: Neolithic,  Date: 5th–4th millennium B.C.,  Culture: Cretan,  Medium: Stone ?,  Dimensions: L. 1 3/4 in. (4.4 cm); W. 1 1/4 in. (3.1 cm),  Classification: Miscellaneous-Stone,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.505
tempObjectNumber: 8, Title: Faience aryballos (oil bottle) in the form of a hedgehog,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Faience,  Dimensions: Overall: 1 3/4 x 2 9/16 in. (4.4 x 6.5 cm),  Classification: Miscellaneous-Faience,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.2602
tempObjectNumber: 9, Title: Jug,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 4 7/8 in. (12.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1111
tempObjectNumber: 10, Title: Terracotta alabastron in the form of a woman,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H. 10 1/16 in. (25.5 cm),  Classification: Vases,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.143
tempObjectNumber: 11, Title: Limestone statuette of a beardless male votary with a wreath of leaves,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 19 1/2 x 6 1/4 x 2 3/4 in. (49.5 x 15.9 x 7 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2685
