tempObjectNumber: 1, Title: Intaglio,  Culture: Roman,  Medium: Carnelian burnt,  Dimensions: Other: 1/2 x 7/16 x 1/8 in. (1.3 x 1.1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.876
tempObjectNumber: 2, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 7/16 × 1 13/16 × 3/16 in. (3.6 × 4.6 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2127
tempObjectNumber: 3, Title: Glass jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: Overall: 1 5/8 x 1 3/4in. (4.1 x 4.4cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.197
tempObjectNumber: 4, Title: Glass alabastron (perfume bottle),  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group II,  Dimensions: H.: 4 7/8 in. (12.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1372
tempObjectNumber: 5, Title: Terracotta bowl,  Period: Imperial,  Date: ca. A.D. 1–300,  Culture: Roman,  Medium: Terracotta,  Dimensions: diameter  3 11/16 in. (9.4 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.863
tempObjectNumber: 6, Title: Bronze object in the shape of a horn,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze inlaid with silver niello and copper,  Dimensions: 9 x 3 9/16 x 2 7/8 in.  (22.9 x 9 x 7.3 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1998,  Accession Number: 1998.11
tempObjectNumber: 7, Title: Nail,  Medium: Bronze,  Dimensions: Other: 4in. (10.2cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5375
tempObjectNumber: 8, Title: Terracotta amphora with Phoenician inscription,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Clay,  Dimensions: H.: 22 3/4 in. (57.8 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2300
tempObjectNumber: 9, Title: Terracotta amphora (jar),  Attribution: the Syracuse Painter,  Period: Classical,  Date: ca. 470–460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 19 7/16 in. (49.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.151
tempObjectNumber: 10, Title: Loom weight,  Medium: Terracotta,  Dimensions: Diameter: 1 5/16 in. (3.3 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.54
tempObjectNumber: 11, Title: Terracotta pelike (jar),  Attribution: the Underworld Painter,  Period: Hellenistic,  Date: ca. 330–310 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 19 5/8 in. (49.8 cm),  Classification: Vases,  Credit Line: Purchase 1901,  Accession Number: 01.8.14
tempObjectNumber: 12, Title: Skyphos,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 5 1/4in. (13.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5849
tempObjectNumber: 13, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 5/8 x 9/16in. (4.1 x 1.5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.161
tempObjectNumber: 14, Title: Marble head of a woman,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek probably Cycladic or northern Ionian,  Medium: Marble,  Dimensions: Other: 9 x 6 x 7 in. (22.9 x 15.2 x 17.8 cm),  Classification: Stone Sculpture,  Credit Line: Harris Brisbane Dick Fund 1991,  Accession Number: 1991.11.7
tempObjectNumber: 15, Title: Terracotta amphora (jar),  Attribution: Group E,  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 16 7/8 in. (42.8 cm); diameter  11 5/16 in. (28.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.143
tempObjectNumber: 16, Title: Askos,  Period: Cypro-Classical I,  Date: 480–400 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 9/16in. (9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.416
tempObjectNumber: 17, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/8in. (5.5cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.55
tempObjectNumber: 18, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 6 15/16 x 5 9/16in. (17.7 x 14.2cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.134
tempObjectNumber: 19, Title: Terracotta relief with the head of a woman,  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Corinthian,  Medium: ,  Dimensions: H. 5 1/2 in. (14 cm),  Classification: Terracottas,  Credit Line: Purchase Mrs. Helen H. Mertens Gift 1961,  Accession Number: 61.11.5
tempObjectNumber: 20, Title: Seal,  Period: Early Minoan III,  Culture: Minoan,  Medium: Steatite,  Dimensions: Other: 9/16 x 11/16 in. (1.5 x 1.8 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.90
tempObjectNumber: 21, Title: Vase fragment,  Period: Archaic,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 3 1/8 x 3in. (7.9 x 7.6cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.142
tempObjectNumber: 22, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 3/8 x 1 in. (3.5 x 2.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1959
tempObjectNumber: 23, Title: Glass weight,  Date: 1st century A.D. or later,  Culture: Roman (?),  Medium: Glass; formed on the pontil rod,  Dimensions: Weight: 1.9 lb. (861.8g),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.143
tempObjectNumber: 24, Title: Terracotta jug,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 7 5/16 in. (18.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.530
tempObjectNumber: 25, Title: Mosaic glass bowl fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Overall: 3/4 x 1 5/16 in. (1.9 x 3.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1972
tempObjectNumber: 26, Title: Terracotta squat lekythos (oil flask),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.22
tempObjectNumber: 27, Title: Terracotta pyxis (box),  Period: Classical,  Date: last quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  2 11/16in. (6.8cm),  Classification: Vases,  Credit Line: Gift of Norbert Schimmel Trust 1989,  Accession Number: 1989.281.81.1a b
tempObjectNumber: 28, Title: Three fragments of a terracotta skyphos (deep drinking cup),  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other (C): 1 1/4 x 3 1/16 x 1/4 in. (3.1 x 7.8 x 0.6 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.16a–c
tempObjectNumber: 29, Title: Amethyst ring stone,  Period: Imperial,  Date: ca. 1st–2nd century A.D.,  Culture: Roman,  Medium: Amethyst,  Dimensions: Length: 3/4 in. (1.9 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.187
tempObjectNumber: 30, Title: Bronze decorative appliqué,  Period: Classical,  Date: 2nd half of 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: width  2 1/4 in. (5.7 cm),  Classification: Bronzes,  Credit Line: Gift of Paul and Gregory Demirjian in memory of Migirdich Demirjian 2001,  Accession Number: 2001.220
tempObjectNumber: 31, Title: Terracotta head of a male dwarf,  Period: Hellenistic,  Date: 2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 1 3/4 in. (4.4 cm),  Classification: Terracottas,  Credit Line: Gift of Peter Sharrer 2000,  Accession Number: 2000.667.2b
tempObjectNumber: 32, Title: Serpentine blossom bowl,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1500 B.C.,  Culture: Minoan,  Medium: Serpentine,  Dimensions: H. 2 1/4 in. (5.7 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Gift of Bess Myerson 2001,  Accession Number: 2001.761.6
tempObjectNumber: 33, Title: Bronze spiral-type fibula (safety pin),  Period: Geometric,  Date: 9th century,  Culture: Villanovan,  Medium: Bronze,  Dimensions: Other: 3 3/8 in. (8.6 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.116
tempObjectNumber: 34, Title: Terracotta plaque fragment,  Period: Archaic,  Date: late 7th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Overall: 12 3/4 x 11 5/16 in. (32.4 x 28.7 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1935,  Accession Number: 35.11.15
tempObjectNumber: 35, Title: Amphoriskos,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 3 3/8 in. (8.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.653
tempObjectNumber: 36, Title: Glass pendant in the shape of Harpokrates,  Period: Hellenistic,  Date: late 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass molded; cast in a two-part mold,  Dimensions: H.: 1 1/8 in. (2.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.420
tempObjectNumber: 37, Title: Bronze statuette of a lion,  Period: Archaic,  Date: ca. 550–500 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 2 1/2 x 4 1/8 in. (6.3 x 10.4 cm),  Classification: Bronzes,  Credit Line: Gift of Norbert Schimmel Trust 1989,  Accession Number: 1989.281.75
tempObjectNumber: 38, Title: Glass two-handled bottle (amphora),  Period: Early or Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H. 4 15/16 in. (12.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5722
tempObjectNumber: 39, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 360–340 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 7.29 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.34
tempObjectNumber: 40, Title: Silver gilt spirals and bead,  Period: Archaic,  Date: 2nd half of the 6th century B.C.,  Culture: Greek,  Medium: Gold silver,  Dimensions: Other (average length): 1 1/16 in. (2.7 cm),  Classification: Gold and Silver,  Credit Line: Anonymous Gift 1992,  Accession Number: 1992.367.1–.6a b
tempObjectNumber: 41, Title: Volute-krater fragment,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 2 1/8 x 1 13/16in. (5.4 x 4.6cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.66
tempObjectNumber: 42, Title: Beads 30,  Medium: Glass,  Dimensions: Diameter (Smallest bead): 9/16 in. (1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.652
tempObjectNumber: 43, Title: Silver cosmetic vessel,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Silver,  Dimensions: length  3 7/16in. (8.7cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1997,  Accession Number: 1997.29.2a b
