Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Terracotta hydria (water jar),Late Classical,4th century B.C.,Greek South Italian Apulian,Terracotta; black-glaze,H. 24 1/8 in. (61.3 cm),Vases,Purchase 1900,0.1
Terracotta oinochoe (jug) in the form of a black's head,Classical,ca. 480 B.C.,Greek Attic,Terracotta; red-figure,H. 6 1/16 in. (15.4 cm),Vases,Purchase 1900,00.11.1
Bronze aryballos,Imperial,1st–2nd century A.D.,Roman,Bronze,H. 3 in. (7.6 cm),Bronzes,Purchase 1900,00.13.1
Bronze lamp,Imperial,late 1st century A.D.,Roman,Bronze,Total height 3 7/16 in. (8.7 cm); L. of lamp without handle 4 7/16 in. (11.8 cm),Bronzes,Purchase 1900,00.13.10
Bronze handle attachment,Imperial,2nd century A.D.,Roman,Bronze,Total height 3 1/2 in. (8.9 cm),Bronzes,Purchase 1900,00.13.11
Bronze handle attachment,Imperial,2nd century A.D.,Roman,Bronze,Total height 3 1/2 in. (8.9 cm),Bronzes,Purchase 1900,00.13.12
Bronze simpulum (ladle),Mid-Imperial,late 1st–early 2nd century A.D.,Roman,Bronze,H.: 4 1/2 in. (11.4 cm),Bronzes,Purchase 1900,00.13.14
Bronze spout in the form of a Corinthian column,Imperial,ca. 1st–2nd century A.D.,Roman,Bronze,L. 15 1/16 in. (38.3 cm),Bronzes,Purchase 1900,00.13.16
Bronze statuette of a sphinx,Late Hellenistic or Imperial,ca. 1st century B.C.–2nd century A.D.,Greek or Roman,Bronze,H. 1 5/8 in (4.1 cm),Bronzes,Purchase 1900,00.13.17
Bronze handle of a patera (shallow saucepan),Imperial,1st century A.D.,Roman,Bronze,L. 6 5/8 in. (16.8 cm),Bronzes,Purchase 1900,00.13.18
Bronze aryballos,Imperial,1st–2nd century A.D.,Roman,Bronze,H. 3 11/16 in. (9.4 cm),Bronzes,Purchase 1900,00.13.2
Bronze aryballos,Imperial,1st–2nd century A.D.,Roman,Bronze,H. 3 11/16 in. (9.4 cm),Bronzes,Purchase 1900,00.13.3
Bronze jug,Late Archaic,early 5th century B.C.,Etruscan,Bronze,H. (without handle): 5 in. (12.7 cm),Bronzes,Purchase 1900,00.13.4
Bronze batillum (incense shovel),Mid-Imperial,late 1st–early 2nd century A.D.,Roman,Bronze,L. 16 1/4 in. (41.3 cm),Bronzes,Purchase 1900,00.13.5
Bronze batillum (incense shovel),Mid-Imperial,late 1st–early 2nd century A.D.,Roman,Bronze,L. 10 in. (25.4 cm),Bronzes,Purchase 1900,00.13.6
Bronze batillum (incense shovel),Mid-Imperial,late 1st–early 2nd century A.D.,Roman,Bronze,L. 12 1/2 in. (31.8 cm),Bronzes,Purchase 1900,00.13.7
Bronze steelyard and weight,NULL-PERIOD,4th–6th century A.D.,Roman,Bronze,Other: 13 3/8 in. (34 cm),Bronzes,Purchase 1900,00.13.8
Ring for the attachment of bath implements,Imperial,1st–2nd century A.D.,Roman,Bronze,Diam. 5 5/16 in. (13.5 cm),Bronzes,Purchase 1900,00.13.9
Statuette of Herakles,NULL-PERIOD,NULL-DATE,Greek,Bronze,6 15/16in. (17.6cm),Bronzes,Purchase 1900,0.14
Wreath of ivy,NULL-PERIOD,NULL-DATE,Roman,Gold,9 1/2 × 8 5/8 × 1 3/4 in. (24.1 × 21.9 × 4.4 cm),Gold and Silver,Gift of J. Pierpont Morgan 1900,00.15.1
Statuette of a youth armless,Hellenistic,late 4th–early 3rd century B.C.,Greek Boeotian,Terracotta,H. 7 in. (17.8 cm),Terracottas,Purchase 1901,01.13.1
Statuette of a girl armless,Hellenistic,late 4th–early 3rd century B.C.,Greek Boeotian,Terracotta,H. 7 in. (17.8 cm),Terracottas,Purchase 1901,01.13.2
Statuette of a woman dancing,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Terracotta,H.: 16 5/16 in. (41.4 cm),Terracottas,Purchase 1901,01.14.12
Statuette of a woman,Hellenistic,3rd century B.C.,Greek South Italian,Terracotta,H. 7 3/4 in. (19.7 cm),Terracottas,Purchase 1901,01.14.16
Bronze appliqué,Archaic,late 7th–6th century B.C.,Greek,Bronze,H. 5 3/4 in. (14.6 cm),Bronzes,Purchase 1901,01.16.1
Mirror with modern head in relief,Late Classical,2nd half of the 4th century B.C.,Greek,Bronze,Diam. (greatest diameter): 3 7/8 in. (9.8 cm),Bronzes,Purchase 1901,01.16.2a–c
Bronze lid of a box mirror,Classical,2nd half of the 4th century B.C.,Greek,Bronze,diameter  4 3/8in. (11.1cm),Bronzes,Purchase 1901,01.16.3
Bronze lamp,Late Imperial,ca. 4th century A.D.,Roman,Bronze,H. without lid 2 in. (5.1 cm),Bronzes,Purchase 1901,01.17.1
Bronze lampstand,Late Imperial,ca. 4th century A.D.,Roman,Bronze,H. 5 13/16 in. (14.7 cm),Bronzes,Purchase 1901,01.17.2
Terracotta hydria (water jar),Late Classical,ca. 350–300 B.C.,Greek South Italian Apulian,Terracotta; black-glaze,H. 8 1/8 in. (20.6 cm),Vases,Purchase 1901,01.8.10
Hydria,Late Classical,4th century B.C.,Greek South Italian Campanian,Terracotta; black-glaze,7 1/8in. (18.1cm),Vases,Purchase 1901,01.8.11
Terracotta hydria (water jar),Late Classical,ca. 350–320 B.C.,Greek South Italian Campanian,Terracotta; red-figure,H. 23 1/2 in. (59.7 cm),Vases,Purchase 1901,01.8.12
Terracotta phiale (libation bowl),Hellenistic,3rd century B.C.,Greek South Italian Campanian Calenian,Terracotta; black-glaze,diameter  7 3/4in. (19.7cm),Vases,Purchase 1901,01.8.13
Terracotta pelike (jar),Hellenistic,ca. 330–310 B.C.,Greek South Italian Apulian,Terracotta; red-figure,H. 19 5/8 in. (49.8 cm),Vases,Purchase 1901,01.8.14
Beaker signed by Meges,Early Imperial,mid–1st century A.D.,Roman Syro-Palestinian,Glass; blown in a three-part mold,Diameter: 2 5/8 × 2 9/16 in. (6.6 × 6.5 cm),Glass,Purchase 1901,01.8.5
Terracotta kylix: Siana cup (drinking cup),Archaic,ca. 575 B.C.,Greek Attic,Terracotta; black-figure,diameter  9 5/8 in. (24.5 cm),Vases,Purchase 1901,01.8.6
Terracotta oinochoe (jug) in the form of a woman's head,Classical,2nd quarter of 5th century B.C.,Greek Attic,Terracotta; red-figure,H. 7 5/16 in. (18.6 cm),Vases,Purchase 1901,01.8.7
Terracotta pelike (jar),Classical,ca. 480 B.C.,Greek Attic,Terracotta; red-figure,H. 11 1/4 in. (28.5 cm),Vases,Purchase 1901,01.8.8
Nolan neck-amphora,Classical,ca. 460–450 B.C.,Greek Attic,Terracotta; red-figure,Diam. of foot: 3 1/4 in. (8.3 cm),Vases,Purchase 1901,01.8.9
Marble portrait bust of Antoninus Pius,Mid-Imperial,2nd century A.D.,Roman,Marble,Height: 33 1/4 in. (84.5 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.1
Marble statue of a woman,Imperial,1st or 2nd century A.D.,Roman,Marble,H. 65 in. (165.1 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.10a
Head of a marble statue of Apollo,Imperial,2nd century A.D.,Roman,Marble,H.: 10 13/16 in. (27.5 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.10b
Lower part of a marble seated statue of Hygieia,Imperial,1st or 2nd century A.D.,Roman,Marble,Depth  40 (101.6 cm)(w/ base),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.11a
Portrait head of a woman,Imperial Flavian or Trajanic,69–117 A.D.,Roman,Marble,H. 10 1/4 in. (26 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.11b
Marble torso of the so-called Apollo Lykeios,Mid-Imperial Hadrianic or Antonine,A.D. 130–161,Roman,Marble Island,H. 38 in. (96.5 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.12a
Marble head of Dionysos,Imperial,2nd century A.D.,Roman,Marble,H. as restored 13 3/4 in. (35 cm.),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.12b
Marble statue of a youthful Hercules,Early Imperial Flavian,69–96 A.D.,Roman,Marble Island ?,H. 97 3/16 in. (246.9 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.13
Marble statue of a bearded Hercules,Early Imperial Flavian,A.D. 68–98,Roman,Marble Island,H. without pedestal 93 3/4 in. (238.20 cm.),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.14
Marble statue of the so-called Apollo Lykeios,Mid-Imperial Hadrianic or Antonine,A.D. 130–161,Roman,Marble,H. with plinth 80 in. (203.2 cm.),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.15
Marble statue of a seated muse,Imperial,1st or 2nd century A.D.,Roman,Marble Pentelic,H. as restored 66 in. (167.7 cm.),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.16
Marble statue of a woman,Late Classical,2nd half of the 4th century B.C.,Greek,Marble,H. (H. without plinth): 66 1/8 in. (168 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.17
Marble head of a woman,Imperial,1st century A.D.,Roman,Marble Pentelic,H. 16 in. (40.6 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.2
Marble head of a herm,Early or Mid Imperial,1st or 2nd century A.D.,Roman,Marble,Overall: 14 1/2 x 8 1/2 x 10in. (36.8 x 21.6 x 25.4cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.3
Marble herm,Early or Mid Imperial,1st or 2nd century A.D.,Roman,Marble,Overall: 19 3/4 x 12 3/4 x 12 in. (50.2 x 32.4 x 30.5 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.4
Head of marble colossal female statue,Imperial,17th century?,Roman,Marble,H. (Length of face): 15 1/4 in. (38.7 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.5
Marble bust of Herakles,Roman,NULL-DATE,Roman,Marble,Other: 30 5/8 in. (77.8 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.6
Marble statue of Dionysos seating on a panther,Imperial,1st–2nd A.D.,Roman,Marble,Storage (weight on standard pallett): 843lb. (382.4kg),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.7
Marble statue of the Diadoumenos (youth tying a fillet around his head),Imperial,1st–2nd century A.D.,Roman,Marble,H. without plinth 67 1/4 in. (170.8 cm),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.8a
Marble head of a Hellenistic ruler,Imperial,1st–2nd century A.D.,Roman,Marble,H. 14 9/16 in. (37 cm.),Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.8btempObjectNumber: 1
Marble statue of a girl,Imperial,1st or 2nd century A.D.,Roman,Marble,H. with plinth 175.3 cm.,Stone Sculpture,Gift of Mrs. Frederick F. Thompson 1903,03.12.9
Wall painting fragment from the peristyle of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,Overall: 35 3/4 x 25 1/2in. (90.8 x 64.8cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.1
Wall painting from Room F of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco, width  37 (94.0 cm.),Miscellaneous-Paintings,Rogers Fund 1903,03.14.10
Wall painting from Room F of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,70 x 33in. (177.8 x 83.8cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.11
Wall painting from Room F of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco, width  44-3/4 (113.7 cm.),Miscellaneous-Paintings,Rogers Fund 1903,03.14.12
Cubiculum (bedroom) from the Villa of P. Fannius Synistor at Boscoreale,Late Republic,ca. 50–40 B.C.,Roman,Fresco,Room: 8 ft. 8 1/2 in. x 10 ft. 11 1/2 in. x 19 ft. 7 1/8 in. (265.4 x 334 x 583.9 cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.13a–g
Wall painting fragment from the peristyle of the Villa of P. Fannius Synistor at Boscoreale,Late Republic,ca. 50–40 B.C.,Roman,Fresco, 28 3/8 X19 5/8,Miscellaneous-Paintings,Rogers Fund 1903,03.14.2
Wall painting fragment from the peristyle of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,Overall: 58 x 46in. (147.3 x 116.8cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.3
Wall painting from the west wall of Room L of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,Overall: 77 x 107in. (195.6 x 271.8cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.4
Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,Overall: 73 1/2 x 73 1/2in. (186.7 x 186.7cm),NULL-CLASSIFICATIONS,Rogers Fund 1903,03.14.5
Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,Overall: 69 x 76in. (175.3 x 193cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.6
Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,Overall: 70 x 40 1/4in. (177.8 x 102.2cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.7
Wall painting fragment from the north wall of Room H of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,FRESCO, 17 1/4x 17 1/4,Miscellaneous-Paintings,Rogers Fund 1903,03.14.8
Wall painting fragment from the north wall of Room H of the Villa of P. Fannius Synistor at Boscoreale,Late Republican,ca. 50–40 B.C.,Roman,Fresco,16 3/4 x 16 1/2 in.  (42.5 x 41.9 cm),Miscellaneous-Paintings,Rogers Fund 1903,03.14.9
Bronze chariot inlaid with ivory,Archaic,2nd quarter of the 6th century B.C.,Etruscan,Bronze ivory,length of pole  82 1/4 in. (209 cm),Bronzes,Rogers Fund 1903,03.23.1
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  19 5/16 in. (49.1 cm),Bronzes,Rogers Fund 1903,03.23.10
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 1/2 in. (47 cm),Bronzes,Rogers Fund 1903,03.23.11
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 9/16 in. (47.2 cm),Bronzes,Rogers Fund 1903,03.23.12
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  19 5/16 in. (49.1 cm),Bronzes,Rogers Fund 1903,03.23.13
Bronze phiale (libation bowl) with four swinging handles,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 2 13/16 in. (7.1 cm) diameter  14 9/16 in. (37 cm) width including handles  19 7/16 in. (49.3 cm),Bronzes,Rogers Fund 1903,03.23.14
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 3/4 in. (47.6 cm),Bronzes,Rogers Fund 1903,03.23.15
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  17 3/16 in. (43.7 cm),Bronzes,Rogers Fund 1903,03.23.16
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  18 15/16 in. (48.1 cm),Bronzes,Rogers Fund 1903,03.23.17
Bronze patera (salver),Archaic,ca. 550 B.C.,Etruscan,Bronze,diameter  19 9/16 in. (49.7 cm),Bronzes,Rogers Fund 1903,03.23.18
Bronze candelabrum,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 47 1/2 in. (120.6 cm),Bronzes,Rogers Fund 1903,03.23.19
Chariot rim fragments,Archaic,ca. 550–525 B.C.,Etruscan,Ivory,NULL-DIMENSIONS, Classifications: Miscellaneous-Bone Ivory,Rogers Fund 1903,03.23.1a–d
Bronze cauldron,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 12 1/2 in. (31.8 cm) diameter 16 5/16 in. (41.5 cm),Bronzes,Rogers Fund 1903,03.23.2
Bronze ribbed situla (bucket) with two handles,Archaic,ca. 550 B.C.,Etruscan,Bronze,H. 7 5/8 in. (19.4 cm) diameter  8 13/16 in. (22.4 cm),Bronzes,Rogers Fund 1903,03.23.20
